name,url
"Shoreline Mafia","1bcJGZQsUJ8sf8MQVN8XZSx7K8rcjvr0cH6DwJRsS-xQ"
"Shotgun Willy","1L-aysStieq72VplJO8HKVBMCH_mEPivcHSAq7wyb6bc"
"Silas","1l1B5jtraBCpUW2ZWks4Ghh1MOqZuDOinXFDeePqvis0"
"Skaiwater","1P4ArPuRP6_Sq7LErNHptP2ry6fm3lBjHM9Rg47hRwNU"
"Ski Mask the Slump God","1j7_2JVQ2eyaVA6vEQT89R8XhOXUR8KTJbVgTUm_ZD88"
"Skrillex","15hYI-8geDvt5ts_ipqRorHbimpgtcLZwJtbCZzj4Gl8"
"Slayyyter","1kJBsqYYwEOhJw7yuvRGO47r1xdwxlKuIkWFAjCy5_nU"
"Slowdive","1ZuhpJKkFe5saYfftrsqEhgB2a5jT1adFNjNQwdDUZPw"
"Smino","1NLx9U-A_Xi78HlyQzfbLCbAHiyxSk2Jxf06g6J5oypQ"
"Smokepurpp","1KrZM7GA-DeWqUWA4vaxYnY7d0rqxaQyuLhW8LUeh8sk"
"Snoop Dogg","1aBYvCXXRnHKsNL3j-07nASGZcSwY98UAnFa66X0vdJg"
"SoFaygo","1HISW5L6rWvEW-ZtHrUQRBbjwfOYTrTuzi5fgPkwtObQ"
"SoGone SoFlexy","1JncPnYfOuIKXH9fkl6Gru9Sj9aZ6Wk-wKF-Bb90SKms"
"Sonder","1-zyjhDdgKvCpoVZ2gAJ5NwEdfElp0MPiCGhF-bmTXM8"
"SOPHIE","1to4ZPK7_FRxtLgvDg3mD5YMSTAOMAFyAXquIjYwz-u8"
"SosMula","1g4wGHgo_7bdC_nnWg7BA80cGo1aQV9OE8qtm8dKqUgw"
"Summer Walker","1z9rWKIcEKxODq_9BdElNAJXffnYhFtrwc1Yzo7_OViM"
"Summrs","13yCSXxHCBhNGzO6kBGr_MMmRDNLu9j4X10vn_CSBuG4"
"SZA","1JIx2n6x0TQCftUa5MFrfqU-XhAq2C5jqpmj6KTEoaXU"
"Tate McRae","18sMZnU-vRh-NWAiUfXKR_JhcpCQ8_JqFVUoHozB5EYg"
"Tay-K","1_JNEFoF3_yuo4bOaA4VtkST1R9JgVeb72t9J1h4uTjM"
"Taylor Swift","1btegn2JNZDnuOovmeQrtoUZbT7kz4oQsFVoYcmHVQXY"
"The Avalanches","1dTTzRtVx8iUDViabUwKzCr7jKFIlTho5YMmydnFzKEc"
"The Chainsmokers","1F88FHHxY6fa9Q0jUChoPSn6G1LCtD0P534SqjtHgZw8"
"The Kid LAROI","1a8_li_D3rG0iDLqT9AGZsRVojlEyhO_nb735cRpyUvE"
"The Notorious B.I.G","1fDQXnTEIqzApYAY7GH6AwZOA2Zmt8TFKiVMyCgBa4iA"
"The Weeknd","1oVbHDhR5vMFr1OCZFE6saCnRdRIcbqmUMqQBJiIKb_Q"
"The xx","1-44cL1Ofnt1TE8zv3K6DkzNqi7CiRplUTL7fx9zPI-M"
"Thundercat","1KN1eE89gaCsf8Lh_mnjxjfrz7HNQd7V833uxMPibZkU"
"Top Dawg Entertainment","1R6E6ccGMRfKVLWzqJPjXQ0L3Z7FbCiUCdSkF8ApG368"
"Tory Lanez","1wTAafdjDZt4DkKmJ6MTMP4ctJXD5zYDvow0Y4Y6bB0I"
"Travis Scott","1n15Im4plMmRLhLSOduP7_Q92BAuihVUtS4lDQLPpHbk"
"Trippie Redd","1FNvDiC75Fv3wvYBt1SQ9JpF2D5SR-LpPzJg2X7xGYQQ"
"Troye Sivan","1TdzAx-eOyUjshgX_4vzG6nSO76T3Lv7D3cbjdx5kDIM"
"Twenty One Pilots","1-njYcJF1BwZ2auQ46Uz0pMNRwkylxGEKdR2D4oS_sHk"
"TWICE","1jmc1dG979NvZ7UeAkL-BgFuM193f9xBIaFB9_XlsZ5Y"
"Ty Dolla $ign","1bo-3-xJuqPTqbVxwpezUPW6YO83xV0OMP-6bMzey3ns"
"TYLA","1md_JK1_qgVPo-OEitBtqvHUg1Yz6egBS3-r-O5g7wvA"
"Tyler, the Creator","1j4u95WiI9Zdv1T8_9M4RTb7Kkn5RjBZGoX-3v-8WFvw"
"underscores","11rr10x_ZrimdnylZ9ESUVZDkAORPJb7OEb065muZKVY"
"untiljapan","1XR4A-TAojE_1EUXushbfxoKxjMrh0GcL2Z3XZHKCmbI"
"untitled","1Ca3vRAuWXeaRFImLUez7SAkfnRVmlIBlG3bQymOXw2c"
"UPSAHL","http://trackerhub.cx/sh/1S-oXxvDMZh2xzvSXrV-Fj69OzRWrZl4xwWHCwz3p8TY"
"Veeze","1abHieI_Uloarr9luFqjONk4giiNBAG9Ok95qb7uKVWM"
"Vince Staples","1_NjFkevi7tbhqAGHSfgaEsKrzRgvPePUeCLv0GG2GgU"
"Vory","1GkNscF4cMdldugf3gRzVkAXoPHQ67LNv9SHKRuYmr1E"
"Weiland","1B4tLycf_6mq_t5e5FqFYHrMO1T9P43hj-eDv_EmL47A"
"Westside Gunn","1_dFPF4tSdIuwRUj_UXUFz5qeNVJm-9lCl3zhIGXt0wI"
"Wu-Tang Clan","1IK9NEjkSk9ln_qzfjD41dcMKAlaBMcekTJBQsuTKbS0"
"XXXTentacion","1wKq7lSERmXYutRFxipNbFFc-DUdqhVXWWlFnqkzwRFA"
"Yeat","1FUzAZyTCgFTVxQ--qbCAS2bUk4dsAw6ASxwjURPHbyI"
"YNW Melly","12F6NiZjW1jVkWP3Be9auscqfkFIGO617SxPnIAt48Og"
"Young Nudy","13NdGOf_18SYmKi8oZX97zAGJgv0pJEH59k2Dxj7RkCM"
"Young Thug","12zc2reK5y8XP6SQhv1ujQtiG9VpJy7yDWwDuE-S-wpc"
"Yung Lean","1bAAb6E7_r-9TWlHuKY_re-KZwU2yt_3tbWGTZcKu_Wc"
"Yuno Miles","1i0OISTGJvNe3vc6TKpO7vRtMJ2Re0y64eAwi1F5y26c"
"Zara Larsson","12Chjr-9_ENK5Ek6ScnMBndI_0UudrGfQ7cLCnefbWO8"
"Zayn","15q7YTsbf49pLo80ceW7JLruLr7XzP3NyvypfDyQsJw0"
"ZillaKami","http://trackerhub.cx/sh/1WqCclZjeBjJsbW7GWxa1o_hOtu0YqrD3_bm7lZttXU4"
