name,url
"Clams Casino","1rgozDgBQxmi6jGZjhjWwpbfkc_4I0gWd0CM3UomAUFA"
"Conan Gray","1kVn1PkIxnyxHjqzo7re7NZKyAlRDjnLSqsJggW3Hyt0"
"Creamer Nation","1IFhQbmAps11t0xPEZNhutt6vF1eaU8zVFeBda7OqOFc"
"D Savage","1dqrM1jYEd7z2sy9_bVvL-d-kBlG7sFbHKSl3HESB7X8"
"Daft Punk","1ZPjnzdSJLRIGwscll1T8NpPFJ57CCmE4oj43NnxmaDY"
"Daniel Caesar","1_D-puv6fjwCjrx9x7qAu9oYzUfFzDLrLz1cElaXndso"
"Danny Brown","1ybtg3wbiB63eHKGv8_ZFek3qQIoRbB8DUYAWObfeDZI"
"Death Grips","1pogjtB01aiqXoc3Hun4wJZbWVA6eRerzX88BNnoyM2Y"
"Deftones","16wzspV6U33C0DZ1Q-jwBl4onRU_7E6aMl5_MhfVKqAs"
"Demi Lovato","1t0KtTUiB68rItYX04dioGL2mxnftXk2hFrPovIA7vCE"
"Destroy Lonely","1J16EyxHqZD4m0VZ6g6SoY_1GC21TU7P2kk9FeteSKvE"
"Dixie D'Amelio","1yGRwG49vl7jX7VgFCgo2ZBZTFIFzVuA8roRbb07xe40"
"Doechii","1P2inSuDEuS_kp45qDAXJpb_hmj__Lj409bytyp4xiw8"
"Doja Cat","1_NwxP5mGGEj7stY0Dr_hI_Pb4m8LBIyt3Cb-OoTJPtc"
"Dominic Fike","1gzD1-xMwzvsk0U9G2emMM35i5nINaZG3qFlQ3Vl18v8"
"Don Toliver","1b3kzo8hF6K5odTJIjoMEtV3qrw7g5rG_zW25K66UWEY"
"Dr. Dre & Aftermath","1uL6pENIpeX8O8oNTMC9GVL0WoJ0YL1YnQWBnWkEjhaI"
"Drake","1hbMpsZTravgTgLny76rqq04RbsYJBHBJtmBz1sT013k"
"Dream","1zufNODk_zMyyYQdwM4RtKHVtfY8WplefbsRJ9__dQns"
"Dua Lipa","15Z0P2roEfi0hV8Hu32kcDfvZW_EethROZxhkXacsfxg"
"Earl Sweatshirt","1EKEnvdiwSudiPJSePPzfCXIQ_W-AYeAIY6_r-a12bdM"
"Ecco2k","https://docs.google.com/spreadsheets/d/e/2PACX-1vQG3sKhpSi8HTWbKSWAIXHZ7reD9ht-7QIvWllT3Le6o5V-V51id2kobBBjGN_EtQ2_cukgcmwnK0W0/pubhtml"
